[26-Mar-2015 18:35:27 UTC] PHP Notice:  Array to string conversion in /home/ubuntu/workspace/Resources/php/gallery.php on line 10
[26-Mar-2015 18:53:37 UTC] PHP Notice:  Undefined index: typ in /home/ubuntu/workspace/Resources/php/gallery.php on line 2
[26-Mar-2015 18:53:37 UTC] PHP Notice:  Undefined index: gal in /home/ubuntu/workspace/Resources/php/gallery.php on line 3
[26-Mar-2015 18:53:46 UTC] PHP Notice:  Undefined index: typ in /home/ubuntu/workspace/Resources/php/gallery.php on line 2
[26-Mar-2015 18:53:46 UTC] PHP Notice:  Undefined index: gal in /home/ubuntu/workspace/Resources/php/gallery.php on line 3
[26-Mar-2015 18:54:05 UTC] PHP Notice:  Undefined index: gal in /home/ubuntu/workspace/Resources/php/gallery.php on line 3
[26-Mar-2015 18:54:05 UTC] PHP Notice:  Undefined variable: files in /home/ubuntu/workspace/Resources/php/gallery.php on line 22
[26-Mar-2015 18:54:50 UTC] PHP Notice:  Undefined index: gal in /home/ubuntu/workspace/Resources/php/gallery.php on line 3
[05-Apr-2015 20:32:40 UTC] PHP Warning:  mysqli_connect(): (HY000/2005): Unknown MySQL server host 'localhost:3306' (20) in /home/ubuntu/workspace/Resources/php/ListDB.php on line 2
[05-Apr-2015 20:46:46 UTC] PHP Notice:  Undefined index: DptCod in /home/ubuntu/workspace/Resources/php/ListDB.php on line 3
[05-Apr-2015 20:54:06 UTC] PHP Fatal error:  Call to undefined function com_create_guid() in /home/ubuntu/workspace/Resources/php/ListDB.php on line 4
[05-Apr-2015 21:40:10 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/ubuntu/workspace/Resources/php/ListDB.php on line 7
[05-Apr-2015 21:40:56 UTC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, boolean given in /home/ubuntu/workspace/Resources/php/ListDB.php on line 7
